"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"NV1",-0.3768,4.6016,1.2624,2.1734,-1.0644,-3.9786,2.4147
"NV2",-3.4959,-9.754,-0.1696,-1.1398,2.7839,3.8851,8.434
"NV3",-5.2783,-9.0883,1.3936,-2.0449,4.4135,7.6902,11.4049
"PM1",-1.115,-7.2102,4.0243,2.0304,5.7181,13.2814,15.7341
"PM2",6.9235,9.8459,-1.452,-3.2594,-6.1097,-10.4693,-11.0854
"PM3",7.7976,5.2534,0.58,-2.4496,2.907,2.3457,3.7375
"PM4",-2.6656,-10.3577,-4.0123,-5.6205,-0.6585,-3.0975,3.9075
"MM1",-2.7937,4.0055,0.7063,1.6554,-6.0253,-2.0657,-5.2128
"MM2",5.3853,8.6422,-1.259,2.2871,-3.5718,-7.3871,-11.8185
"MM3",-1.9018,-2.4428,-2.2007,2.7432,2.4584,5.3659,-5.4605
"MM4",-4.6207,3.4362,2.5958,1.4716,2.8025,-2.7805,-7.0608
"MM5",0.723,6.9917,2.1847,3.0315,-1.4922,-7.1917,-8.0334
