"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"SKMEL5_DMSO_6_hr_Replicate_1",1.609,4.4699,-0.215,-0.8893
"SKMEL5_A_485_3_0_mM_6_hr_Replicate_1",0.5372,2.2007,0.1507,0.4347
"WM2664_DMSO_6_hr_Replicate_1",1.9141,1.025,-0.349,-0.2779
"WM2664_A_485_3_0_mM_6_hr_Replicate_1",1.1746,2.0367,-0.1712,0.4816
"A375_DMSO_6_hr_Replicate_1",1.383,2.292,-0.2579,-1.8981
"A375_A_485_3_0_mM_6_hr_Replicate_1",1.1475,3.14,0.1985,-2.3998
"SKMEL5_DMSO_6_hr_Replicate_2",1.1827,2.9893,-0.1674,-0.095
"WM2664_DMSO_6_hr_Replicate_2",0.9834,1.9145,-0.7734,1.0527
"A375_DMSO_6_hr_Replicate_2",0.2975,3.112,0.1406,-1.4861
"SKMEL5_DMSO_24_hr_Replicate_1",0.8762,3.2317,-0.4862,-0.1227
"SKMEL5_A_485_3_0_mM_24_hr_Replicate_1",0.9687,3.2885,0.6401,0.4831
"WM2664_DMSO_24_hr_Replicate_1",2.6551,1.8624,0.0689,0.6724
"WM2664_A_485_3_0_mM_24_hr_Replicate_1",1.2313,2.3222,-0.642,-0.2068
"A375_DMSO_24_hr_Replicate_1",1.155,3.6765,-0.1067,-2.9702
"A375_A_485_3_0_mM_24_hr_Replicate_1",1.5613,2.6654,0.0869,-0.9597
"SKMEL5_DMSO_24_hr_Replicate_2",1.4733,2.2929,0.2214,-1.1539
"WM2664_DMSO_24_hr_Replicate_2",1.2921,1.0949,0.3399,-0.3353
"A375_DMSO_24_hr_Replicate_2",1.3297,3.3035,0.0814,-1.2262
