"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"PBS_10ml_Kg__223226_",0.8506,4.5779,-2.0552,-1.1445,-1.4638,-1.2578,-3.073
"PBS_10ml_Kg__223228_",0.2543,3.7444,-2.0188,-1.6583,-0.6865,-1.5364,-3.7947
"PBS_10ml_Kg__223232_",0.3079,3.8277,-2.7541,-1.9977,-2.0632,-2.0251,-4.4118
"Normal_IgG_10_mg_kg__223245_",1.2327,4.3353,-2.4796,-1.1043,-1.3707,-1.0613,-2.835
"Normal_IgG_10_mg_kg__223238_",0.2793,3.9431,-2.1095,-1.9716,-1.0057,-1.0854,-3.657
"Normal_IgG_10_mg_kg__223244_",0.8058,4.3932,-2.3138,-1.8159,-0.979,-1.308,-3.3158
"Normal_IgG_10_mg_kg__223246_",0.6794,4.0231,-2.1666,-1.6776,-0.7728,-1.1948,-3.6152
"Normal_IgG_10_mg_kg__223248_",0.3075,4.1559,-2.3899,-1.6776,-1.6639,-1.4728,-3.7883
"Normal_IgG_10_mg_kg__223240_",0.2648,4.0841,-2.4594,-1.7226,-1.4844,-1.8027,-3.482
"Normal_IgG_10_mg_kg__223241_",1.1823,5.5963,-1.3526,-0.1171,0.8922,1.4513,-0.5982
"Normal_IgG_10_mg_kg__223253_",0.7763,4.4953,-2.6201,-1.5335,-1.8295,-1.7089,-3.5505
"Normal_IgG_10_mg_kg__223237_",0.5304,4.267,-2.1723,-0.8095,-1.36,-0.2909,-2.5184
"Normal_IgG_10_mg_kg__223251_",0.1901,4.2886,-2.6284,-1.3399,-1.6,-1.3808,-3.2285
"Normal_IgG_10_mg_kg__223235_",0.0795,3.7433,-2.2038,-1.6298,-1.0323,-1.778,-3.9091
"Normal_IgG_10_mg_kg__223252_",0.3201,4.145,-2.9123,-1.49,-1.87,-1.7525,-3.3232
"Normal_IgG_10_mg_kg__223239_",0.2941,4.1421,-2.4576,-1.3715,-1.6975,-1.3654,-3.0349
"Normal_IgG_10_mg_kg__223234_",0.1855,3.7606,-2.2216,-1.4155,-1.1301,-1.6947,-3.5916
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223263_",1.0817,4.3281,-2.8931,-1.5437,-0.9895,-0.6171,-2.2242
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223281_",0.521,4.484,-1.6254,-0.64,-0.3666,-0.3768,-2.103
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223291_",0.9513,4.9338,-1.662,-0.5548,0.5752,0.8286,-0.4552
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223312_",1.3022,5.1522,-0.7663,-0.2854,1.4127,2.494,-0.0799
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223317_",0.695,4.622,-1.5391,-0.5694,0.4208,0.6712,-0.8615
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223326_",0.9361,4.3765,-2.289,-1.6445,-1.2369,-0.7957,-2.2074
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223327_",0.8175,4.5035,-2.4019,-1.4646,-1.2172,-0.5366,-2.0627
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223334_",0.8104,4.2655,-2.4954,-1.2657,-1.9766,-1.2245,-3.4546
"Responders_to_10mg_kg_anti_mouse_PD_L1_mIgG1_D265A__clone_80__AstraZeneca_Cat__AB740080__Batch__SP15_221___223337_",0.2947,4.1957,-2.6991,-0.9838,-2.5745,-1.9859,-3.6094
