"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"GFP_1.Norm",2.6672,2.017,-3.5508,-1.852,-1.3992,-1.9957,-3.6872
"GFP_2.Norm",2.2484,2.0551,-3.3641,-1.1796,-1.1529,-3.5309,-4.2014
"GFP_3.Norm",0.2376,0.1624,-3.2959,-0.3187,-1.8401,-5.5217,-5.8385
"GFP_4.Norm",1.8108,0.474,-4.0107,-0.1018,-2.596,-5.805,-6.539
"GFP_5.Norm",2.2014,0.903,-4.4434,-0.7369,-2.3727,-5.9969,-5.5612
"GFP_6.Norm",0.3146,-0.4984,-4.0694,0.2649,-1.2096,-4.7719,-5.855
"MYR_1.Norm",1.1581,0.8037,-3.6777,-0.7394,-1.4953,-5.1679,-5.9967
"MYR_2.Norm",0.7064,0.9247,-3.5497,-0.1019,-0.0353,-2.681,-4.3781
"MYR_3.Norm",0.6373,1.5047,-2.8451,-0.2144,-0.8139,-4.3077,-4.0079
"MYR_4.Norm",0.5993,0.7204,-2.9926,-0.1375,-1.3002,-5.3331,-5.0238
"MYR_5.Norm",0.4699,0.4726,-3.5491,-0.1386,-0.8501,-4.4829,-4.9175
"MYR_6.Norm",1.0473,0.0038,-3.6351,0.4211,-1.08,-5.2059,-4.8146
