"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"GSM978134",5.764,-1.6808,-1.4674,-4.7197
"GSM978135",5.0681,-1.3177,-0.3082,-5.9117
"GSM978136",4.5859,1.0028,-1.6784,-5.9742
"GSM978137",5.0192,-2.5965,-1.4734,-6.5326
"GSM978138",6.3978,-1.3871,0.2614,-6.4725
"GSM978139",4.8057,-0.2044,-1.061,-5.806
"GSM978140",5.1424,-0.7089,-1.2624,-6.1794
"GSM978141",2.1373,-1.6573,-1.6043,-6.7317
"GSM978142",5.6235,-0.2206,-0.6354,-5.2118
"GSM978143",5.0874,-0.6263,-2.5518,-6.2571
"GSM978144",5.9401,0.0413,0.1003,-4.4265
"GSM978145",5.8655,0.0623,1.0778,-3.0746
"GSM978146",4.3553,-0.0695,-1.7236,-6.281
"GSM978147",4.4443,-0.4115,-2.0692,-6.433
"GSM978148",5.0077,0.1574,-1.4357,-6.4823
"GSM978149",4.3811,-0.8735,-2.8076,-6.1008
"GSM978150",3.2238,-2.0349,-2.5751,-6.722
"GSM978151",5.1363,-2.5753,-0.2974,-4.9403
"GSM978152",7.3591,-1.0849,1.3346,-4.4842
"GSM978153",5.4616,-0.9712,-2.1041,-4.971
"GSM978154",4.8942,-0.8794,-3.3836,-7.3101
"GSM978155",5.1163,-0.532,0.281,-4.4352
"GSM978156",5.8244,-1.8889,0.844,-5.0777
"GSM978157",5.2999,-1.2102,-1.3253,-4.7825
"GSM978158",4.4919,-0.8335,-2.1077,-6.5459
"GSM978159",4.4271,-1.132,-3.1294,-7.1197
"GSM978160",5.8382,0.8834,-1.885,-6.2421
"GSM978161",6.6962,-0.1482,0.6968,-3.3362
"GSM978162",5.7223,1.4394,-0.2288,-5.3912
"GSM978163",5.6097,-0.7989,0.2927,-4.6774
"GSM978164",3.8863,-1.5469,-0.2119,-5.4936
"GSM978165",5.6146,-0.619,-0.5105,-6.0849
"GSM978166",4.6523,-0.0213,-0.9679,-6.334
"GSM978167",6.2253,-1.6575,-0.6652,-4.8892
"GSM978168",4.7138,0.2153,-0.2541,-1.7143
"GSM978169",3.3813,-0.6643,1.4006,-4.3922
"GSM978170",6.4508,-0.0891,-0.8455,-6.2097
"GSM978171",5.9099,-1.0714,-2.2688,-5.6067
"GSM978172",5.6702,-0.8289,-0.3295,-2.463
"GSM978173",4.928,-1.3201,-0.7808,-5.6804
"GSM978174",4.5596,-2.047,0.287,-3.2067
