"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"X262.TNF.3d_S5.FPKM",5.8388,-0.0181,4.6125,-10.6837
"X262_g3wks_S39.FPKM",4.9241,-0.9149,2.7022,-11.0078
"X308.d0_S2.FPKM",-1.887,5.5219,-3.3305,-10.2015
"X308.TNF.3d_S6.FPKM",-4.3724,3.188,-0.2408,-8.9741
"X308.g5wks_S7.FPKM",-2.4436,2.4718,-3.3926,-10.1505
"X399.d0_S13.FPKM",-2.1583,3.8478,0.3403,-10.2707
"X399.TNF_S17.FPKM",-3.6678,1.9129,4.3566,-10.3498
"X399.LTg_S16.FPKM",-3.165,-2.4244,-2.3252,-7.3846
"X3998MEL_d0.FPKM",-0.1884,2.8618,5.0279,-9.9267
"X3998MEL_TNF.FPKM",-1.2224,2.3501,9.2881,-9.0191
"X3998_MEL_LTg.FPKM",-2.4929,-0.4693,4.9923,-9.5623
"X257A2_d0.FPKM",-6.4962,-5.294,-0.2014,6.2315
"X257A2_TNF.FPKM",-6.6726,-5.9441,1.8015,5.1949
"X257A2_LTg.FPKM",-5.9181,-6.4299,0.582,6.3468
"X381_d0.FPKM",-6.9644,-6.4248,-2.0492,6.6261
"X381_TNF.FPKM",-6.8099,-6.7228,-1.5292,5.3996
"X381_LTg.FPKM",-5.3066,-6.772,-0.3426,4.6879
"X370_d0.FPKM",-7.1457,-5.3429,2.0858,0.4376
"X370_TNF.FPKM",-6.5828,-5.2848,2.174,1.2177
"X370_LTg.FPKM",-5.4611,-5.2991,2.7144,1.8777
"X410_d0.FPKM",-7.2166,-4.0347,1.0586,9.0415
"X410_TNF.FPKM",-6.0407,-4.6047,1.3791,6.4371
"X410_LTg.FPKM",-6.6285,-4.9321,0.2272,5.5028
