"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"X501me1_48h_DMSO_1",0.7311,7.3948,-4.2684,-5.7182,-5.5449,-11.0251,-10.1847
"X501me1_48h_DMSO_2",0.7889,7.6652,-4.5833,-6.005,-5.9708,-11.6044,-10.1787
"X501me1_48h_DMSO_3",0.8293,7.3106,-4.5629,-5.5516,-5.6797,-11.4678,-10.6188
"X501mel_SCDi_A93_t48h_1",1.3231,7.6435,-4.266,-5.8884,-5.8202,-11.6944,-9.9693
"X501mel_SCDi_A93_t48h_2",1.5862,7.56,-5.3168,-5.5937,-5.6856,-10.562,-10.3429
"X501mel_SCDi_A93_t48h_3",1.1095,6.9494,-4.4763,-5.499,-5.4112,-11.2588,-10.4168
"X501mel_siCTR_t48h_1",0.0303,5.9369,-4.1286,-5.4237,-5.2992,-10.5905,-9.0724
"X501mel_siCTR_t48h_2",-0.4953,5.7492,-4.8893,-4.8767,-5.5387,-10.2723,-8.686
"X501mel_siCTR_t48h_3",0.061,5.7381,-4.5042,-5.1546,-5.1856,-11.1214,-9.0885
"X501mel_siSCD_2_1",-0.7542,5.88,-3.2176,-4.9674,-6.0717,-11.2284,-10.4814
"X501mel_siSCD_2_2",-0.7773,6.1235,-3.0228,-4.8985,-6.1555,-11.4101,-10.6567
"X501mel_siSCD_2_3",-0.6998,5.5003,-2.8595,-5.4003,-5.7407,-11.259,-9.8855
"IGR37_DMSO_t48h_1",2.1562,7.7188,-5.8869,-4.7363,-2.9918,-7.3738,-11.4212
"IGR37_DMSO_t48h_2",2.2668,7.4938,-5.6188,-4.6255,-2.9613,-7.5647,-10.5086
"IGR37_DMSO_t48h_3",2.5584,8.0439,-5.5673,-5.2287,-3.1069,-7.313,-10.5268
"IGR37_SCDi_A93_t48h_1",2.1864,4.2004,-6.5694,-4.9364,-3.5967,-6.2561,-11.282
"IGR37_SCDi_A93_t48h_2",1.9532,4.3008,-6.5204,-5.2302,-2.9515,-5.8585,-11.1556
"IGR37_SCDi_A93_t48h_3",2.3422,4.3042,-6.8281,-4.8663,-3.4165,-6.2234,-10.5196
"IGR37_siCTR_t48h_1",2.1888,8.0571,-5.7582,-6.3575,-5.0174,-9.6805,-11.6667
"IGR37_siCTR_t48h_2",2.0738,7.3494,-5.7908,-5.8933,-5.0901,-8.8318,-12.0231
"IGR37_siCTR_t48h_3",2.7293,7.3437,-6.0145,-5.539,-4.7845,-9.2608,-11.4682
"IGR37_siSCD_2_t48h_1",1.1654,6.3334,-4.0124,-3.6433,-2.1461,-8.2566,-11.9547
"IGR37_siSCD_2_t48h_2",-0.1086,5.7863,-3.8587,-3.0956,-2.3704,-8.1298,-10.9779
"IGR37_siSCD_2_t48h_3",0.0801,5.5882,-3.7341,-3.5352,-2.2795,-7.9163,-11.4375
"X501mel_siCTR_1",-0.0844,7.1448,-4.693,-5.3898,-5.5806,-11.1996,-10.307
"X501mel_siCTR_2",-0.1433,6.9713,-4.7724,-5.2608,-5.452,-11.2337,-10.5497
"X501mel_siCTR_3",0.0865,6.5068,-4.8234,-5.2699,-5.2497,-10.7421,-11.0855
"X501mel_siSCD1_1",-1.4956,6.1675,-2.2832,-4.0798,-3.9883,-10.0468,-11.0755
"X501mel_siSCD1_2",-1.6381,6.5017,-2.3007,-4.6045,-4.9272,-10.5504,-11.1452
"X501mel_siSCD1_3",-1.2809,6.1733,-2.3521,-4.4993,-3.8621,-9.1748,-9.8621
"IGR37_siCTR_1",2.947,7.8115,-6.1298,-5.1925,-3.7925,-7.6771,-11.1209
"IGR37_siCTR_2",2.7655,7.6904,-5.694,-4.8649,-3.644,-7.6509,-11.0376
"IGR37_siCTR_3",2.9715,7.6628,-6.2343,-5.2815,-4.2301,-7.5033,-10.6644
"IGR37_siSCD1_1",3.4623,7.6339,-5.323,-4.5863,-2.1742,-6.4246,-10.7732
"IGR37_siSCD1_2",2.8802,7.4541,-5.4096,-4.2049,-2.6273,-7.0955,-10.6541
"IGR37_siSCD1_3",2.9898,8.4494,-5.5775,-4.8031,-2.6418,-7.1162,-10.6234
