"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"MM66_S1",-6.6144,3.0738,-1.7782,-4.1452
"MM66_S2",-6.3832,2.8916,-2.347,-4.5497
"MM66_S3",-6.7902,3.281,-1.8526,-3.3331
"MP38_S1",5.9384,-3.6137,2.51,2.3505
"MP38_S2",5.9569,-3.3487,3.9468,2.9139
"MP38_S3",2.0556,-2.006,5.3713,2.7307
"MP46_S1",-0.4572,0.0948,-0.6974,4.0268
"MP46_S2",-0.0847,2.3234,-1.4394,1.9725
"MP46_S3",-0.3514,1.9169,-1.942,1.4992
"MP65_S1",-1.0398,-2.6901,-1.5737,2.3194
"MP65_S2",1.0774,-0.903,-0.4391,1.9095
"MP65_S3",1.2009,-0.8669,-0.241,1.1339
"PDX4_S1",2.4204,-1.0243,-0.6584,-3.8193
"PDX4_S2",2.6617,0.2967,1.4956,-1.9855
"PDX4_S3",2.2812,0.0551,0.232,-2.1613
