"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"mole_1__re_analyzed_",0.6571,7.7918,2.6309,1.8631,3.3593,6.6661,2.8282
"mole_2__re_analyzed_",1.0088,9.5212,2.9685,2.6211,2.1841,4.9503,1.6676
"H15__re_analyzed_",1.1787,6.2195,0.9038,1.4633,2.4726,7.5876,4.9752
"H59__re_analyzed_",2.2676,9.1321,1.4389,0.9644,2.491,4.9011,1.8827
"H60__re_analyzed_",1.262,7.4889,1.2931,1.1587,2.0703,6.3536,3.3319
"H17__re_analyzed_",2.1646,7.2581,0.962,1.3855,2.6162,8.1048,4.7403
"H18__re_analyzed_",1.2009,5.7405,0.7112,0.4045,3.4425,7.965,5.5214
"H19__re_analyzed_",1.8786,8.1323,1.2386,1.0072,2.6308,7.283,4.3008
"H21__re_analyzed_",1.9218,8.1365,1.5833,1.678,3.0958,7.4134,4.0977
"H23__re_analyzed_",2.1078,6.4755,1.2938,1.1228,2.8595,7.5771,5.001
"H67__re_analyzed_",2.1365,9.1987,1.7283,1.8783,1.9156,6.6635,3.1067
"H69__re_analyzed_",2.3383,7.6343,1.5299,0.9449,2.9591,5.7215,2.8722
"Patient__1_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",6.2034,11.716,-1.4773,0.7432,0.4613,2.4174,-2.2667
"Patient__2_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",4.0146,7.4087,0.479,-0.5161,3.3425,6.6932,4.0701
"Patient__3_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",2.8643,8.6627,1.614,1.7277,4.8322,6.5332,3.7901
"Patient__4_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",4.3004,11.7497,2.7726,2.0266,4.2203,5.7298,0.3872
"Patient__5_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",3.3271,10.7586,0.9116,2.5433,3.7375,6.198,0.4389
"Patient__6_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",3.7215,9.7274,2.5579,0.8639,3.0898,6.5073,3.3748
"Patient__7_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",2.8358,8.856,0.9041,0.6025,4.1706,8.2544,4.2873
"Patient__8_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",-2.0517,4.5095,1.8553,0.981,4.3608,9.2035,4.0837
"Patient__9_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",-0.257,4.0379,1.8186,0.5971,4.1275,9.3118,4.1445
"Patient__10_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",2.4882,7.7831,1.356,1.0133,3.6715,7.2101,3.7209
"Patient__11_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",2.5576,6.3281,1.4555,0.126,3.1225,7.7859,4.8864
"Patient__12_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",0.5681,6.3317,1.5337,1.0553,4.1975,8.6159,4.2768
"Patient__13_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",4.6383,12.801,2.3915,1.9752,3.1704,7.0737,2.5478
"Patient__14_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",0.608,5.5578,1.4977,0.8503,3.4956,8.2418,4.6238
"Patient__15_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",3.744,11.1968,2.1277,2.2738,3.8961,7.9881,2.6573
"Patient__16_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",4.4012,11.0443,1.6653,1.5792,3.6185,7.6105,3.5256
