"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"common_melanocytic_nevus_1",0.3957,2.9087,0.2416,0.2386,2.3889,-0.9883,1.8374
"common_melanocytic_nevus_2",2.3729,6.2218,-0.4021,0.6523,-0.6082,-2.823,-2.5548
"common_melanocytic_nevus_3",3.8182,3.601,0.754,-0.3042,3.1049,0.6158,0.4694
"common_melanocytic_nevus_4a",2.0899,1.8074,-0.1511,-2.0952,0.8165,3.2731,-0.0372
"common_melanocytic_nevus_4b",2.7582,6.0991,-1.1428,-1.2147,-0.1095,1.3369,1.1236
"common_melanocytic_nevus_5",3.118,1.2291,-3.055,-2.7902,-0.614,0.9265,-3.1756
"common_melanocytic_nevus_6",0.2829,-1.9569,-0.9217,-1.6436,0.1825,1.8407,-2.3938
"common_melanocytic_nevus_7a",1.7756,1.639,-1.3662,-0.1873,0.398,-0.3756,-0.1167
"common_melanocytic_nevus_8a",2.1712,2.8276,-0.7361,-1.0721,-0.6308,-0.3351,-2.2559
"common_melanocytic_nevus_9a",5.5228,5.266,0.8474,-2.0115,2.4598,-0.3519,-2.4656
"common_melanocytic_nevus_10",2.4223,1.8367,-0.7224,-2.4803,1.0949,1.0059,-1.0618
"common_melanocytic_nevus_11",2.4497,4.0104,2.1198,1.8421,1.7171,0.7907,-2.2867
"common_melanocytic_nevus_12",4.3129,4.5644,0.2215,-0.6897,-0.0934,2.4202,0.712
"common_melanocytic_nevus_13",2.7356,5.9506,1.1107,4.0166,-2.1463,-3.3838,-2.3665
"common_melanocytic_nevus_14",3.6866,7.3968,-0.9402,-0.3205,-2.3306,-1.6922,-1.3769
"common_melanocytic_nevus_15",2.5319,6.9157,0.3216,1.1336,-3.0309,-3.9798,-3.6404
"common_melanocytic_nevus_16",4.8851,8.7906,-0.8233,0.8785,-2.3781,-2.3213,0.7816
"common_melanocytic_nevus_17a",3.1012,8.8614,1.202,3.1867,-1.0207,-1.0929,0.5639
