"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"X108",1.5764,3.9893,-2.3798,1.6334,-0.6274,-5.3559,-10.6224
"X19",-0.2129,-4.0674,-3.3583,2.366,1.2696,1.2195,-4.7664
"X27",5.1395,6.6423,-4.0884,-0.4993,-2.496,-4.7232,-9.6693
"X38",1.9799,2.3143,-3.866,1.6705,-2.7719,-6.7759,-10.4309
"X40",1.3049,5.3921,0.4983,2.2156,0.1455,-4.8618,-9.5397
"X43",-4.6498,-4.7993,-1.275,4.7573,2.3971,0.9436,-9.2868
"X72",4.5425,3.4051,-2.2829,0.1755,0.0116,-0.0732,-5.2906
"X112",-5.4362,-6.0565,-3.6486,3.8335,0.7559,2.6534,-7.6898
"X135",0.8391,-0.4513,-5.6203,-2.8399,-1.1084,-0.7012,-5.9303
"X106a",1.1492,1.7185,-3.2168,1.2706,-2.6059,-6.2276,-7.9044
