"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"A375.1",-11.9768,-19.3356,-3.1307,4.8649,10.367,7.1334,0.0905
"A375.2",-12.225,-17.4918,-3.1541,5.5454,10.1039,7.0213,-0.304
"A375.3",-12.1816,-17.1374,-3.0408,5.6907,9.6143,7.0038,-0.4309
"G361.1",9.4254,7.9471,-2.9531,-5.4646,-3.8554,-9.1506,-4.6625
"G361.2",8.8429,7.8009,-2.7537,-6.4326,-4.4912,-8.9841,-3.9511
"G361.3",9.2448,8.9061,-2.5468,-5.194,-4.2671,-9.2813,-4.0428
"HTB.66.1",-10.083,-18.4895,-5.9966,-3.2067,6.5376,16.8252,11.6193
"HTB.66.2",-9.5835,-18.5825,-5.545,-2.7107,6.4288,17.325,12.9413
"HTB.66.3",-10.5085,-18.2348,-5.6499,-3.0253,6.5706,15.8434,12.555
"HTB.67.1",5.7642,11.1409,3.7868,-1.5306,-6.2807,-8.1942,-4.8898
"HTB.67.2",6.3705,11.5018,4.6394,-1.5137,-5.9782,-8.8629,-5.1966
"HTB.67.3",5.9725,10.6463,3.6089,-2.4728,-5.935,-8.8382,-5.1029
"HTB.69.1",4.6426,6.3863,-2.7079,-1.4888,-2.8739,-6.2069,-2.9452
"HTB.69.2",4.2343,6.3384,-2.2984,-1.0242,-2.6675,-6.7281,-3.6838
"HTB.69.3",4.2919,6.1324,-2.3554,-0.993,-2.579,-4.8933,-3.008
"SH4.1",0.477,12.1124,5.4594,1.1153,-8.8849,-10.53,-6.2777
"SH4.2",0.3668,13.3343,5.0849,1.8816,-9.1732,-11.4916,-6.4864
"SH4.3",0.5544,13.0794,5.0861,2.031,-9.0687,-10.4757,-6.4928
