"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"BE_M",13.079,17.7831,5.805,6.0288,8.8202,12.4406,10.7938
"BO.003.AW_M",10.6816,17.267,6.5124,7.4474,7.2934,9.6535,6.388
"BO.005.SA_M",10.6337,18.1223,6.5095,7.162,9.0783,10.9584,7.7006
"BO.009.BS_M",10.2882,16.9957,6.4013,8.5376,8.8644,11.9526,8.1664
"BO.011.WK_M",11.1782,18.9325,7.4682,8.5449,10.2519,10.176,3.7286
"BO.013.NK_M",9.9859,14.5695,6.3353,6.9042,11.2062,12.4651,10.9079
"BO.015.BW_M",10.8163,18.3808,7.5387,7.2656,8.862,11.3187,8.8282
"BO.017.BU_M",11.3338,15.1807,6.0783,5.9113,8.0183,13.5497,12.2998
"BO.019.WG_M",10.403,18.2619,6.6462,6.7148,9.3709,10.9014,8.4761
"BO.023.HS_M",10.8273,16.6776,7.6226,7.0159,9.4266,13.1202,11.9051
"BO.025.SE_M",10.1922,16.1295,6.8478,5.6579,8.5876,12.5194,10.68
"BO.027.SM_M",10.5953,16.5941,6.6148,5.888,9.0722,10.7448,6.0658
"FKH.007_M",11.8427,17.506,5.9578,5.556,8.6697,12.3594,9.8747
"FKH.011_M",9.3595,14.8962,6.0888,5.075,8.0604,13.0288,12.3871
"FKH.012_M",9.0667,13.7034,6.1348,5.0927,8.5272,13.4383,11.1841
"FKH.021_M",10.2188,16.0948,6.8465,6.7799,9.1434,13.2608,12.1025
"FKH.023_M",10.5601,18.4338,6.2284,6.3047,8.3205,12.9945,9.7728
"FKH.027_M",10.97,16.5999,7.1944,6.7856,9.2029,14.3928,13.0832
"KO.1039_M",9.9454,16.68,6.4437,8.1861,9.0897,11.6899,7.8483
"KO.1221_M",11.4602,18.2707,5.6104,6.1732,9.6759,12.6097,9.5705
"KO.1248_M",11.2768,17.2506,6.9429,7.2841,9.3152,11.1863,7.0874
"KO.1347_M",12.4179,17.2371,6.554,6.6309,8.2025,10.7853,8.3229
"KO.762.SW_M",10.467,16.7006,5.9745,5.7958,7.8694,11.056,10.4529
"KO.971_M",8.259,16.7501,8.1378,8.0995,8.2615,10.7166,4.6884
"KS_M",10.4305,17.4123,7.5515,6.9469,8.8946,13.5779,11.694
"LE.025.BI_M",8.2351,15.9236,8.1593,7.652,7.9868,11.5373,8.4894
"LE.037.RG_M",11.3894,18.315,7.2086,7.1796,8.0391,10.913,7.1655
"LE.039.BE_M",9.9584,18.6466,7.2945,7.1578,7.1273,10.4795,8.3419
"LE.041.RL_M",10.5625,16.6533,7.1761,6.3566,9.3285,12.8291,10.251
"LE.045.WU_M",10.6483,17.6569,8.247,7.8799,8.2331,11.7312,9.6335
"LE.049.SDIII_M",12.1585,17.9165,5.868,5.6711,7.6228,8.8238,6.9206
"LE.049.SDII_M",11.9614,17.6438,5.3495,5.7083,8.6924,9.1027,6.8255
"LE.049.SDI_M",11.5728,18.2795,4.874,5.7076,7.7481,9.6173,6.8811
"LE.051.WD_M",7.162,12.0375,7.003,8.7407,12.6517,14.2655,11.0991
"LE.057.HK_M",10.6461,17.5506,7.1068,6.9448,10.4802,12.5725,11.4417
"LE.073.HK_M",10.4738,17.0725,7.266,6.6301,7.4068,10.5318,6.9993
"LE.081.TR_M",10.1849,16.3254,6.6287,6.3004,8.2718,12.4142,10.9991
"LE.085.BU_M",10.6961,17.4257,7.7406,7.0723,8.8261,12.4667,9.9714
"LE.105.TF_M",10.9738,17.2314,6.9131,5.6457,8.5545,13.4218,11.733
"LH_M",9.8591,14.4897,7.1035,5.647,7.7253,12.2755,11.2988
"MA.001.SH_M",5.9286,12.9734,7.4362,9.4534,9.9556,13.5577,9.3279
"PH_M",11.0721,18.8099,6.2304,6.9276,8.4547,12.01,9.9326
"PS_M",9.9369,17.8602,7.4567,8.3518,9.1817,12.048,10.3999
"RG_M",11.6468,19.1745,6.9927,6.9042,8.7533,11.3247,8.4499
"RH_M",10.4813,17.6916,7.2914,7.9236,8.9209,11.2075,9.1297
"RS_M",10.4435,16.4687,7.286,6.7051,9.3566,12.0761,10.443
"SH_M",10.0392,16.0424,6.6424,6.6577,8.6121,12.7141,10.0614
"SM0_M",11.4571,17.9575,7.0909,7.4702,9.4057,10.2179,7.6711
"SMIII_M",10.9313,18.2357,6.917,7.9867,8.1443,11.0147,8.1078
"SMII_M",10.7865,19.0581,6.8162,7.8779,8.0665,10.4117,6.6995
"SMI_M",9.9552,17.8183,6.6009,7.4921,8.1676,10.9769,7.4098
"SMIV_M",10.7413,17.8298,6.9098,7.6031,8.6913,11.2828,8.1025
"BO.001.SH_2_M",6.2826,12.0391,6.4359,6.4198,9.7279,12.8492,11.4776
"KO.1031_M",10.2533,18.0088,7.2348,8.5574,8.8538,12.0047,8.6502
"KO.679_M",12.6076,19.2855,7.276,6.8248,7.3634,11.2208,7.4767
"LE.117.RB_M",10.8883,17.4335,7.4717,7.7598,8.787,12.4678,10.9188
"LE.129.NG_M",9.0912,18.2165,7.394,6.8209,6.9406,10.2586,5.5283
