"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"primary_tissue__1",2.9256,12.2688,3.2053,3.2879,1.4421,1.9953,-4.8435
"metastatic_tissue__1",1.0737,10.568,4.0937,3.6832,2.5856,1.9654,-2.8404
"primary_tissue__2",6.0116,9.5341,0.3194,0.1444,2.8456,3.5006,-0.4335
"metastatic_tissue__2",6.4881,7.5212,-1.786,-4.6329,-0.9523,-0.088,-2.7104
"reference_tissue_naevus",4.1868,9.7112,1.1032,1.1966,-0.3069,1.6729,-1.2495
"reference_tissue",-2e-04,1.4529,-0.6028,-1.4072,1.0742,4.1967,2.7771
"primray_cell_line__1",-6.918,-1.3237,-0.1585,7.6602,10.0913,9.7329,-8.4975
"metastatic_cell_line__1",2.7296,11.7527,1.6368,1.1006,-3.1437,-3.7175,-7.9295
"primray_cell_line__2",4.08,9.6976,1.5976,6.5748,9.7712,7.6654,-8.4877
"metastatic_cell_line__2",4.3719,13.5073,1.8223,1.3713,-3.6452,-4.4086,-9.166
"primray_cell_line__3",9.4169,13.9278,1.3044,1.2676,-0.7729,-3.1547,-9.9846
"metastatic_cell_line__3",8.1681,11.5376,-0.0409,-0.6748,-1.4345,-2.5754,-8.618
"primray_cell_line__4",-5.5954,-1.2254,-1.1177,4.4325,8.1999,7.4874,-8.5682
"metastatic_cell_line__4",-1.5034,1.6637,0.6773,-0.4255,2.8976,5.028,1.631
"reference_cell_line",8.8401,11.498,-3.3341,-2.0398,-3.5622,-4.2985,-9.2919
