"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"Melanocytes__no_treatment",4.451,-3.9959,-4.7641,-9.8185
"Melanocytes__48h_treatment_with_5_AzadC",4.9586,-3.7758,-4.0814,-10.2337
"MelJuSo__no_treatment",-1.2033,-5.1375,-2.2165,-8.2725
"MelJuSo__48h_treatment_with_5_AzadC",-0.7848,-4.1594,-2.2844,-5.3582
"UACC903__no_treatment",-3.9118,1.4669,2.3132,-8.1728
"UACC903__48h_treatment_with_5_AzadC",-2.8975,1.6305,2.5501,-6.9248
"C8161__no_treatment",-5.953,-4.6214,-4.699,1.7237
"C8161__48h_treatment_with_5_AzadC",-5.4997,-4.7024,-3.7031,3.2593
"Neo6__no_treatment",-5.4189,-4.5403,-5.0539,2.2257
"Neo6__48h_treatment_with_5_AzadC",-5.6983,-5.2674,-4.0231,2.4879
"WM1205__no_treatment",-6.5481,-3.4666,5.505,-7.5498
"WM1205__48h_treatment_with_5_AzadC",-4.8806,-3.5027,6.1735,-6.0701
"WM35__no_treatment",-0.1548,-2.3913,2.4349,-9.9577
"WM35__48h_treatment_with_5_AzadC",-0.4646,-2.8035,3.7646,-7.29
