"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"X5PT.FBScontrol1",-6.581,-5.141,0.4014,0.7933,2.9432,2.0603,0.5612
"X5PT.FBScontrol2",-7.6964,-7.5542,-0.1711,0.1732,4.7773,1.8396,1.006
"X5PT.FBScontrol3",-8.5746,-7.0068,0.0968,1.78,5.3077,7.3204,1.6564
"X5PT.FBSVemurafenib1",2.3321,2.4564,0.9285,-2.1163,-0.4562,-3.0485,2.0883
"X5PT.FBSVemurafenib2",1.0124,-0.8072,0.5365,-2.1946,0.3217,-3.3009,3.7107
"X5PT.FBSVemurafenib3",2.9298,0.9364,1.7572,1.0227,-3.3648,0.3711,1.8046
"Patient1.control1",2.9395,2.5426,0.2731,0.1287,1.8101,1.6625,-1.1533
"Patient1.control2",2.0574,0.6081,-0.6068,0.1281,2.7429,1.5904,-3.7033
"Patient1.control3",0.8368,0.2194,-3.085,-0.4898,1.6545,3.5413,-3.6107
"Patient1.Vemurafenib1",5.672,3.1808,-1.4353,-1.5764,-4.6997,-7.6201,-3.9852
"Patient1.Vemurafenib2",5.8458,3.7615,0.6621,-3.9039,-4.9329,-4.875,-2.4229
"Patient1.Vemurafenib3",6.6308,2.9852,-0.3301,-0.6955,-3.1849,-4.9304,0.4455
"Patient2.control1",-0.9045,2.2891,3.5903,2.3774,1.8415,-1.1344,-0.1329
"Patient2.control2",-1.4204,-0.3758,0.1581,3.2029,1.4978,0.1225,-2.4212
"Patient2.control3",-1.6268,0.8439,0.7482,1.5966,0.7262,2.4782,-0.5298
"Patient2.Vemurafenib1",4.1712,3.6672,3.214,-2.2757,-4.8717,-2.5009,1.5756
"Patient2.Vemurafenib2",5.4761,-0.04,0.0033,-1.6378,-3.6865,-5.4525,-0.1955
"Patient2.Vemurafenib3",4.7562,2.629,0.7644,-4.1169,-4.4228,-4.6505,-1.7943
"Patient3.control1",-8.2435,-5.883,-2.2643,1.6939,2.4686,5.976,-0.6149
"Patient3.control2",-5.4639,-8.3834,-3.8128,4.1794,1.8779,4.6373,0.1722
"Patient3.control3",-6.3179,-6.8847,-3.1867,0.9238,3.0551,6.4032,2.5136
"Patient3.Vemurafenib1",0.9237,4.2887,0.5192,2.0128,-3.1407,-2.7736,2.815
"Patient3.Vemurafenib2",-2.3453,1.5252,-0.9751,-0.8188,-2.1121,-0.2386,4.6057
"Patient3.Vemurafenib3",-0.5822,3.6988,-0.3068,-2.0145,-1.5041,-0.6023,-0.1839
