"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"X501mel_1",9.507,1.2236,-0.403,-4.4501
"X501mel_2",9.4111,0.5134,0.3446,-3.368
"X501mel_3",9.5438,1.0748,-0.021,-4.1356
"HBL_1",10.2699,-1.0267,1.4534,-1.8149
"HBL_2",10.9786,-0.9676,1.3814,-1.2606
"HBL_3",11.4142,-0.8489,0.7207,-1.2071
"IGR37_1",11.2026,-0.102,1.6984,-2.5317
"IGR37_2",10.9451,0.7943,2.1936,-2.6148
"IGR37_3",11.1895,0.1946,2.0068,-2.5922
"IGR39_1",3.3908,-1.9357,4.5531,9.1669
"IGR39_2",4.4197,-1.7863,4.9254,9.1357
"IGR39_3",2.3375,-1.8042,4.9037,9.5185
"HBL.100_1",2.352,-1,2.6392,9.5513
"HBL.100_2",3.629,-0.2735,2.5941,10.0918
"HBL.100_3",3.1766,-0.4669,2.7988,9.3208
"SkMel30.1_1",10.2043,1.1056,2.6003,-2.7639
"SkMel30.1_2",9.8263,1.6612,2.3344,-2.6303
"SkMel30.1_3",9.7566,1.5668,2.4246,-1.8308
"A375M_1",2.0513,2.1224,8.9562,2.9156
"A375M_2",1.7705,1.0109,9.4732,3.2576
"A375M_3",2.7593,0.8809,8.1681,2.4057
"WM852_1",2.6765,-1.8716,1.1684,9.6487
"WM852_2",3.5947,0.2339,1.5692,8.7377
"WM852_3",4.0696,-1.217,3.2149,8.7444
