"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"IGR1DMSO8hrep1",5.3662,-2.6257,1.5016,-8.2731
"IGR1GSK1268hrep1",5.6455,-3.1353,1.2031,-9.2551
"IGR1DMSO48hrep1",5.8599,-1.7692,0.1475,-8.5649
"IGR1GSK12648hrep1",7.2788,-1.5512,1.3227,-8.639
"KMJR138DMSO8hrep1",-3.8835,-1.3779,9.2823,-6.4605
"KMJR138GSK1268hrep1",-3.1959,-0.5095,9.2773,-6.4678
"KMJR138DMSO48hrep1",-2.8661,0.3374,8.1757,-6.5152
"KMJR138GSK12648hrep1",-2.779,0.8139,9.6066,-5.3864
"MM386DMSO8hrep2",2.751,-1.2597,0.3123,-7.6315
"MM386GSK1268hrep2",3.3146,-1.7922,-0.8084,-8.6906
"MM386DMSO48hrep2",3.9216,-0.8496,-0.4242,-9.3662
"MM386GSK12648hrep2",5.2451,-0.9271,-0.1974,-9.1602
"MelRMUDMSO8hrep2",-5.5481,-2.5852,2.6726,3.793
"MelRMUGSK1268hrep2",-4.2312,-3.4631,2.3209,4.9122
"MelRMUDMSO48hrep2",-4.7295,-2.3585,2.2765,4.3267
"MelRMUGSK12648hrep2",-4.8721,-2.2411,3.1257,6.061
"MM386DMSO8hrep1",3.3362,-2.1368,0.3553,-8.2928
"MM386GSK1268hrep1",2.6165,-2.1228,-0.2094,-8.2845
"MM386DMSO48hrep1",3.6386,-0.7312,-0.3828,-8.9962
"MM386GSK12648hrep1",5.2268,-1.1058,1.2492,-9.1728
"MelRMUDMSO8hrep1",-5.6206,-3.6817,1.9644,4.0567
"MelRMUGSK1268hrep1",-5.2881,-4.0718,2.3923,4.4034
"MelRMUDMSO48hrep1",-4.6743,-3.8171,2.8344,5.6678
"MelRMUGSK12648hrep1",-4.6552,-2.267,2.8366,5.7568
"IGR1DMSO8hrep2",5.551,-2.9998,1.984,-7.7595
"IGR1GSK1268hrep2",6.0321,-2.8404,1.3801,-8.3026
"IGR1DMSO48hrep2",5.7326,-2.4986,0.3971,-10.0888
"IGR1GSK12648hrep2",6.7607,-2.7721,1.3133,-7.5911
"KMJR138DMSO8hrep2",-2.9167,-1.9223,9.0572,-6.5643
"KMJR138GSK1268hrep2",-3.0649,-1.8412,8.5025,-6.8855
"KMJR138DMSO48hrep2",-2.6451,0.2536,9.022,-6.5313
"KMJR138GSK12648hrep2",-1.8307,0.5878,9.345,-6.6148
