"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"Tumor_6A",1.7964,6.8675,-3.5629,-0.2092,-4.8672,-3.5415,-7.1853
"Tumor_6B",1.7839,6.1342,-2.98,-0.2516,-4.9103,-3.2291,-7.0405
"Tumor_16A",2.116,4.7319,-0.5824,-0.7133,-1.5685,-0.2599,-0.9721
"Tumor_4479",-2.4092,-3.0915,-0.8222,3.0596,1.5008,4.7873,-1.4051
"Tumor_3A",-0.1681,-1.8724,-1.5896,-0.9496,-1.9253,-0.3005,0.0383
"Tumor_2B",-0.743,-1.5759,-2.6038,-0.1159,-2.0896,0.4511,-0.3727
"Tumor_3B",-0.6898,-1.715,-1.0732,-0.9107,-2.1622,0.0527,0.6955
"Tumor_9B",2.0104,3.6867,-1.6335,0.3293,-2.2461,0.6561,-0.4441
"Tumor_9141",1.3962,5.3566,-3.2104,-2.5158,-4.7735,-4.2467,-5.4916
"Tumor_243",-1.5952,5.0325,-0.4892,3.7191,-1.4754,-2.3994,-5.4314
"Tumor_1302",-1.072,4.9612,2.0176,0.7023,-4.7657,-6.0747,-7.5495
"Tumor_550",1.1389,6.3739,-0.4027,1.1574,-1.3006,-1.4731,-4.1808
"Mel_DP",5.1859,8.1093,-3.5001,-1.6904,-5.4289,-6.5175,-9.6809
"Tumor_10A",2.9328,6.3129,-1.0553,-1.1911,-2.2836,-4.8749,-3.8411
"Tumor_9166",0.3423,4.8099,1.0203,2.3383,-0.6917,0.6009,-4.2061
"Tumor_2A",4.909,7.8791,-1.6413,-1.6156,-3.1977,-4.938,-6.7762
"Tumor_19A",1.5132,4.6991,-0.5682,1.1071,-2.0179,-1.6222,-4.3894
"Tumor_8A",-0.6349,4.7003,2.6382,2.6377,0.7291,-1.3912,-4.7852
"Cell_line_537",-0.9981,7.1064,-0.0761,1.1184,-2.9791,-4.865,-10.0943
"Mel_LP",5.4728,7.7568,-3.8648,-1.2121,-4.4625,-4.8832,-9.8183
"Tumor_3629",2.1125,6.721,-2.2054,-1.0658,-3.929,-5.0098,-6.1056
"Tumor_482",1.2723,5.0179,0.5184,1.4328,-2.1955,-2.0897,-5.2909
"Tumor_4A",-0.4601,6.2461,2.81,2.0678,-2.8477,-3.0352,-7.3013
"Tumor_9295",0.7834,9.7443,0.9911,-0.2736,-3.3724,-5.3186,-9.3703
"Cell_line_23",2.7389,9.7407,-1.0812,-0.4256,-6.3849,-6.2738,-10.4486
"Cell_line_23B",2.8278,10.2624,-1.3752,0.036,-6.3947,-7.0208,-9.553
"Cell_line_624",3.3245,9.0884,-3.9802,0.4697,-5.3886,-7.8516,-9.7721
"Cell_line_888",4.1954,9.7145,-4.2538,-2.3137,-5.8001,-8.4409,-9.6674
"Tumor_14B",0.4317,6.5807,-0.6384,1.0259,-2.4797,-3.2755,-6.9403
"Tumor_13B",0.0429,6.714,1.8627,3.5801,-3.821,-3.605,-7.1666
"Tumor_1B",2.9023,5.98,-1.9413,1.3432,-2.527,-1.7516,-6.1884
"Tumor_3735",5.9772,5.8943,-3.1824,-1.6656,-2.9206,-2.4726,-6.6477
"Tumor_598",3.1936,7.6737,-2.0637,-0.6839,-3.4588,-2.0924,-6.5168
"Tumor_8326",3.4027,8.7163,-3.608,0.1069,-3.0242,-2.514,-7.8695
"Tumor_85",5.2821,10.1394,-2.0216,-1.2269,-3.5349,-5.9064,-7.6405
"Tumor_15A",1.2093,8.1564,-0.0594,1.3998,-3.7623,-2.6385,-6.5844
"Tumor_843",2.7986,7.5334,-4.6734,-2.3927,-4.5438,-3.9024,-6.5059
"Tumor_1435",2.3086,7.8232,0.5025,1.0462,-2.254,-3.3332,-5.7094
"Tumor_8327",1.172,6.7644,-1.5882,-0.363,-2.6366,-1.6711,-5.6716
"Tumor_11A",-1.2938,6.4955,2.9038,1.7071,-2.9699,-2.8438,-8.3786
"Tumor_12A",0.0419,7.8873,2.1258,2.0231,-1.5494,-0.0995,-3.1323
"Mel_MP",5.5802,9.4144,-3.8755,-2.7007,-4.8532,-5.8205,-10.0795
"Tumor_33",1.0161,7.4315,1.486,-0.9509,-4.1644,-4.6328,-8.8755
"Tumor_35",4.3716,6.9771,-1.9519,-1.9653,-4.1992,-4.5327,-6.1754
"Tumor_6258",-2.0185,2.0458,2.3068,3.3089,-0.7804,0.6208,-1.982
"Tumor_9154",-0.0089,7.0724,-0.8937,0.2711,-6.3161,-5.0201,-8.8214
"Tumor_13A",-0.2219,7.6273,2.3422,3.1214,-3.8399,-2.6174,-6.9002
"Tumor_476",3.4861,7.8349,-2.3704,1.237,-3.4871,-3.2648,-8.7384
"Tumor_19B",0.3397,6.8729,-0.5403,2.2203,-3.2228,-3.4873,-7.2659
"Tumor_38",5.417,8.7132,-3.0385,-2.4344,-4.5647,-6.0535,-8.2053
"Tumor_9156",0.7145,7.2202,-0.6588,-0.4241,-5.4001,-3.9633,-8.3924
"Tumor_9158",0.9514,6.115,0.6407,0.6077,-2.2618,0.5946,-2.8032
