"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"BR.MCF7",-2.6467,-3.5078,-4.5634,-1.6001,-2.0699,2.1595,-0.1852
"BR.MDA.MB.231",-4.7637,-5.5122,-4.1779,-3.3063,-1.1726,9.4174,6.6445
"BR.HS.578T",-4.4699,-3.5328,-3.238,-1.9455,1.5381,10.7516,2.556
"BR.BT.549",-3.4305,-5.0372,-4.9953,-2.6414,1.3821,9.4435,2.3109
"BR.T.47D",-2.6673,-1.5606,-4.0366,-3.7789,-1.0328,2.2875,1.8415
"CNS.SF.268",-5.2152,-3.9678,-4.8055,-3.5952,1.477,10.4478,6.004
"CNS.SF.295",-5.7988,-4.4054,-3.5305,-1.91,1.1946,11.0456,3.6185
"CNS.SF.539",-5.8917,-3.8708,-4.2523,-2.011,-0.11,7.9977,1.5209
"CNS.SNB.19",-6.0551,-3.4724,-2.9836,0.3687,1.4583,9.2204,0.6262
"CNS.SNB.75",-4.5426,-1.2587,-3.7319,1.8673,3.6363,10.6979,3.4008
"CNS.U251",-5.6384,-3.0679,-2.9162,0.7856,2.4908,9.698,1.6387
"CO.COLO.205",-1.8531,-3.4432,-3.7637,-4.5549,-1.8993,2.0262,1.8005
"CO.HCC.2998",-2.776,-4.6274,-3.2137,-4.7166,-2.466,2.7733,1.4683
"CO.HCT.116",-3.4,-3.766,-4.8002,-4.5724,-3.2471,4.6774,3.5476
"CO.HCT.15",-3.3701,-4.8113,-3.7398,-4.6424,-2.2421,2.933,1.8867
"CO.HT29",-1.7585,-3.9529,-3.174,-3.4685,-2.6343,4.0743,3.0166
"CO.KM12",-2.7878,-4.1669,-2.1617,-4.5829,-1.4596,1.9225,2.5584
"CO.SW.620",-3.4068,-3.9023,-4.0848,-4.1268,-1.3375,2.2673,-0.0306
"LE.CCRF.CEM",-4.3006,-4.5741,-3.2314,-4.7573,-4.7607,0.1113,-3.4173
"LE.HL.60.TB.",-4.2826,-3.2965,-4.4788,-4.8168,-3.9023,-2.5091,-1.2158
