"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"MM370_24h_BRN2_Con__200071760001_A_",6.704,2.7048,-2.4629,-3.9828
"MM370_24h_BRN2_Dox__200071760001_B_",0.1039,1.4352,-1.2784,-1.0479
"MM370_24h_lacZ_Con__200071760001_C_",5.3214,1.041,-0.5053,-4.5861
"MM370_24h_lacZ_Dox__200071760001_D_",5.4891,0.5835,-0.4823,-2.7401
"MM370_48h_BRN2_Con__200071760001_E_",6.8819,2.4769,-2.0773,-1.9125
"MM370_48h_BRN2_Dox__200071760001_F_",1.8926,1.044,0.1936,1.5466
"MM370_48h_lacZ_Con__200071760001_G_",5.4916,2.5172,-1.6095,-3.798
"MM370_48h_lacZ_Dox__200071760001_H_",5.7287,0.5715,-1.801,-2.6971
"MM455_24h_BRN2_Con__200071760001_I_",-11.4952,4.4299,14.7097,7.4169
"MM455_24h_BRN2_Dox__200071760001_J_",-11.1107,2.9284,12.0977,4.3641
"MM455_24h_lacZ_Con__200071760001_K_",-12.0972,2.8573,14.4132,6.8155
"MM455_24h_lacZ_Dox__200071760001_L_",-11.5412,2.4057,13.6377,5.1773
"MM455_48h_BRN2_Con__200071760029_A_",-10.9505,5.255,14.6545,5.7701
"MM455_48h_BRN2_Dox__200071760029_B_",-11.309,2.425,8.4922,8.6741
"MM455_48h_lacZ_Con__200071760029_C_",-11.9938,3.731,14.5351,5.9239
"MM455_48h_lacZ_Dox__200071760029_D_",-11.2873,2.805,14.5181,6.6852
"MM603_24h_BRN2_Con__200071760029_E_",-2.3317,1.3829,-1.4848,3.6886
"MM603_24h_BRN2_Dox__200071760029_F_",-6.3878,0.3351,-4.2019,2.3632
"MM603_24h_lacZ_Con__200071760029_G_",3.4333,0.1736,-7.5941,-1.1388
"MM603_24h_lacZ_Dox__200071760029_H_",2.5415,0.3495,-8.6751,-1.3593
"MM603_48h_BRN2_Con__200071760029_I_",-2.2427,1.9584,-0.116,3.8327
"MM603_48h_BRN2_Dox__200071760029_J_",-6.9667,-0.0933,-1.0552,4.8811
"MM603_48h_lacZ_Con__200071760029_K_",2.406,0.9753,-6.2469,0.029
"MM603_48h_lacZ_Dox__200071760029_L_",2.3632,0.6432,-7.1276,-0.6087
