"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"M207.P",-1.8642,4.518,-5.476,-2.9675,-3.4472,-11.1484,-12.2154
"M207.R1",0.9263,-3.3628,-6.8124,-6.4739,-3.8216,-4.9974,-1.9297
"M245.P",-13.6443,-18.4057,-6.2333,-1.5019,10.0381,10.7103,0.1596
"M245.R3",-12.0002,-19.5553,-6.1073,-5.4552,0.4398,8.6806,0.4544
"M245.R4",-12.1521,-20.7967,-9.459,-9.2191,-5.4716,6.6322,10.4343
"M245.R5",-12.9582,-19.7502,-8.8609,-9.0886,-5.227,7.071,8.5659
"M296.P",-10.3773,-19.5198,-8.4186,-6.9712,1.0773,16.4707,12.8035
"M296.R3",-10.256,-18.4618,-7.4037,-7.4326,1.1374,15.5892,14.2591
"NRAS.PDX1.R1",-4.4138,2.3764,3.9875,2.7139,-7.7557,-13.3903,-13.1016
"NRAS.PDX1.R2",-2.9232,4.3026,4.2267,1.8952,-8.2574,-13.6952,-13.3901
"NRAS.PDX1.R3",-4.8112,0.8101,4.5948,3.1663,-7.7685,-13.3899,-14.1312
"NRAS.PDX1.R4",-4.0956,1.0452,3.1367,2.9053,-8.1564,-14.4562,-13.4754
"NRAS.PDX1.R5",-3.1187,-0.2126,2.4242,1.7735,-6.2512,-11.4055,-9.9507
"NRAS.PDX1.V1",-6.278,0.4848,4.4293,3.7662,-5.8531,-12.7036,-12.8269
"NRAS.PDX1.V2",-5.9854,-2.2492,2.0349,0.7269,-6.0832,-11.2981,-9.1949
"NRAS.PDX2.V1",7.9927,16.5996,2.3267,3.6551,-0.8767,-6.9529,2.2992
"NRAS.PDX2.V2",9.3305,12.8367,0.1607,3.1465,5.6012,4.8141,8.6802
"NRAS.PDX2.R1",9.6754,16.2678,-0.5046,1.702,-2.0997,-9.4281,-2.7401
"NRAS.PDX2.R2",11.8024,17.0373,0.3433,1.9396,3.4776,-4.762,2.1779
"NRAS.PDX2.R3",11.3297,16.8562,1.0281,3.2436,3.8395,-4.0276,5.1867
"NRAS.PDX2.R4",10.2495,15.9887,-0.7984,2.2783,-0.3894,-5.0614,2.2406
"NRAS.PDX9.V1",4.3202,1.9329,-0.003,1.5282,0.0123,4.1471,-3.899
"NRAS.PDX9.V2",4.5,1.812,1.5118,2.1302,-2.1255,1.7562,-4.6872
"NRAS.PDX9.R1",6.6691,4.2688,1.3761,1.6679,-4.1198,-0.8803,-4.9772
"NRAS.PDX3.V2",2.3413,-5.1941,0.3016,-0.1391,4.8291,6.2385,0.7244
"NRAS.PDX3.V1",2.7095,-4.672,-0.086,-0.7212,4.9249,6.8459,-0.509
"NRAS.PDX3.R1",6.9001,1.6105,0.4202,-0.6606,-1.3644,0.4166,-4.2401
"NRAS.PDX3.R2",6.3496,5.1025,3.194,-0.6934,-0.5416,2.023,-2.0772
"NRAS.PDX8.V1",0.6604,8.9413,7.6793,6.9395,6.0795,2.7185,3.1381
"NRAS.PDX8.R1",6.8543,11.1936,6.923,6.0234,4.0053,-0.1786,4.9496
"NRAS.PDX8.R2",4.9315,10.8431,7.4073,5.7262,6.9704,5.7144,4.1185
"NRAS.PDX8.R3",7.6713,9.3425,7.182,4.9406,5.5407,4.0272,7.3575
"NRAS.PDX8.R4",2.2546,9.1388,6.6602,6.0087,5.8956,4.6038,5.7857
