"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"GSM412141",-2.0641,1.0945,0.2766,1.8092,4.4652,2.3101,0.053
"GSM412142",0.752,0.6012,0.7942,3.5655,1.7064,2.8696,-2.3064
"GSM412143",-1.3353,2.2613,0.079,2.235,1.1469,-0.3034,-0.9727
"GSM412144",1.3944,-0.2521,0.7627,1.9041,2.4682,-0.31,2.2857
"GSM412145",1.0898,0.2763,-0.5708,2.3997,1.7949,-0.7872,0.4435
"GSM412146",0.5711,-0.8402,-0.9575,3.2164,-0.4195,1.7359,0.6754
"GSM412147",-0.1929,0.7045,1.0078,1.9582,2.7923,0,1.0964
"GSM412148",1.3711,2.0635,-0.7712,1.8261,2.0597,0.963,1.1214
"GSM412149",-1.5528,0.036,-1.8184,0.3329,3.1412,1.1128,0.0399
"GSM412150",-1.6564,0.1804,-2.7986,0.4597,2.2448,-0.2434,0.5449
"GSM412151",0.51,2.3654,0.551,1.4722,0.1004,-0.5692,-1.6088
"GSM412152",0.9214,1.2438,0.4413,3.5184,1.0886,-1.111,0.042
"GSM412153",1.6409,-0.9914,1.0457,1.1767,0.886,1.65,-0.2087
"GSM412154",-1.1666,0.6725,-1.475,0.6404,2.0767,0.1996,-0.5142
"GSM412155",-0.2589,0.727,2.0186,1.8306,1.9017,2.1878,2.5248
"GSM412156",-0.9964,0.1308,1.1963,2.5051,2.3647,2.0948,0.5771
"GSM412157",-0.0605,2.0599,-0.5893,2.5662,2.7604,1.3279,1.1549
"GSM412158",2.2068,1.1026,0.8932,2.2411,0.8946,-0.2162,-0.0761
"GSM412159",-2.2779,1.0534,-1.1576,0.0714,3.8316,1.2891,1.3835
"GSM412160",-0.0076,0.6483,-0.3854,1.2457,1.7949,0.9509,-1.1869
"GSM412161",-1.0505,1.8969,0.1702,2.4167,1.0733,-0.2912,0.9991
"GSM412162",-0.2964,-1.2548,1.5749,1.7076,2.4791,0.9864,1.3049
"GSM412163",-0.6182,3.3483,-0.1795,1.2382,1.5602,1.62,0.5018
"GSM412164",0.0249,0.2427,1.0469,-0.8165,0.287,-0.4049,-0.6261
"GSM412165",-1.3558,-0.835,2.0477,2.3161,1.3621,1.5267,0.2098
"GSM412166",-0.3588,1.0668,0.7336,0.9832,-0.0941,-1.5375,0.4244
"GSM412167",-2.0991,1.5804,-0.3105,1.4327,4.4515,1.6508,1.0969
"GSM412168",0.7961,1.2775,2.4815,3.0554,0.1378,0.6456,0.7654
"GSM412169",1.804,1.5754,0.8369,3.5157,0.6151,-1.135,1.4915
"GSM412170",-0.3792,1.4693,2.6148,2.5021,0.7249,-0.6342,-0.561
"GSM412171",-0.8259,-0.4528,4.1123,1.8829,1.1544,0.4964,0.1523
"GSM412172",-1.8271,-0.383,0.5736,0.8399,1.6154,-1.0365,0.2193
"GSM412173",-2.8916,1.4872,1.9009,-0.2355,0.6509,-1.1718,-0.025
"GSM412174",-1.1248,1.0228,-0.7706,1.575,1.3935,2.0655,-1.0799
