"","Melanocytic","Transitory","Neural.crest.like","Undifferentiated"
"Patient_1_Pre_untreated",0.3053,1.5292,-1.9307,5.0233
"Patient_1_Prog_Treated_with_dabrafenib",0.3897,-1.6067,-0.9309,4.1162
"Patient_2_Pre_untreated",1.7367,2.6056,-3.2377,5.6894
"Patient_2_Prog_Treated_with_dabrafenib",1.7587,1.3094,-2.4028,4.5063
"Patient_3_Pre_untreated",1.4342,2.6862,-1.4785,4.3663
"Patient_3_Prog_1_Treated_with_dabrafenib",2.0096,2.5901,-1.501,4.5516
"Patient_3_Prog_2_Treated_with_dabrafenib",1.6904,1.2385,-1.5791,5.343
"Patient_4_Pre_untreated",1.5035,0.3287,-1.5548,4.7707
"Patient_4_Prog_Treated_with_dabrafenib",1.6073,1.1308,-1.4015,4.8502
"Patient_5_Pre_untreated",-0.1179,0.1311,-2.5549,4.595
"Patient_5_EDT_treated_with_dabrafenib",1.5036,1.1677,-1.8861,4.1355
"Patient_5_Prog_Treated_with_dabrafenib",0.8332,2.0294,-1.3543,3.905
"Patient_7_Pre_untreated",1.6372,1.654,-3.255,5.4879
"Patient_7_Pre_untreated__replicate_",1.4025,0.9091,-2.6822,6.2816
"Patient_7_Prog_Treated_with_dabrafenib",0.0255,1.8353,-2.1762,5.135
"Patient_8_Pre_untreated",2.2991,1.5252,-2.4219,5.3574
"Patient_8_Pre_untreated__replicate_",0.96,1.1009,-2.7637,4.9035
"Patient_8_Prog_1_Treated_with_dabrafenib",1.2734,2.3195,-2.8347,4.1864
"Patient_8_Prog_2_Treated_with_dabrafenib",0.7802,1.3801,-3.4129,4.7268
"Patient_9_Pre_untreated",0.8385,1.4848,-3.1684,4.8147
"Patient_9_Prog_Treated_with_dabrafenib",1.4662,1.2197,-2.8082,4.8785
"Patient_10_Pre_untreated",0.8608,3.614,-2.0299,5.0866
"Patient_10_Pre_untreated__replicate_",1.0721,1.9193,-0.8381,6.0712
"Patient_10_EDT_Treated_with_dabrafenib",0.7433,1.0632,-3.1864,4.4481
"Patient_10_Prog_1_Treated_with_dabrafenib",1.5208,2.3594,-1.0169,6.451
"Patient_10_Prog_2_Treated_with_dabrafenib",0.1972,2.7276,-1.5024,4.7249
"Patient_11_Pre_untreated",1.8625,-0.1495,-0.9447,5.4123
"Patient_11_Pre_untreated__replicate_",1.0006,0.7634,-1.1981,4.4195
"Patient_11_Prog_1_Treated_with_dabrafenib",1.8701,-0.2441,-1.7135,5.2127
"Patient_11_Prog_2_Treated_with_dabrafenib",-0.3717,0.8397,-2.0172,4.7891
"Patient_11_Prog_1_Treated_with_dabrafenib__replicate_",2.6516,0.4823,-1.7513,4.5368
"Patient_11_Prog_2_Treated_with_dabrafenib__replicate_",1.3189,0.4262,-0.7267,4.6992
"Patient_12_Pre_untreated",1.475,1.8781,-1.4133,4.4692
"Patient_12_Prog_Treated_with_dabrafenib",0.7618,1.3292,-1.8936,3.3479
"Patient_13_Pre_untreated",1.2681,1.2086,-1.8705,4.626
"Patient_13_Pre_untreated__replicate_",1.3097,3.1876,-1.472,4.4666
"Patient_13_Prog_Treated_with_dabrafenib",1.792,2.5794,-2.0315,4.3218
"Patient_14_Pre_untreated",2.3446,2.5834,-0.8237,4.3751
"Patient_14_Prog_Treated_with_dabrafenib",1.4046,0.0065,-1.6169,5.0513
"Patient_17_Pre_untreated",0.7662,1.578,-0.4396,5.2617
"Patient_17_Prog_Treated_with_dabrafenib",1.3132,1.5647,-2.5084,4.886
"Patient_18_Pre_untreated",0.9356,2.4195,-1.4965,3.7577
"Patient_18_Pre_untreated__replicate_",2.2929,2.1051,-1.364,5.3595
"Patient_18_Prog_1_Treated_with_dabrafenib",1.9359,-0.7635,-2.2591,4.2404
"Patient_18_Prog_2_Treated_with_dabrafenib",1.02,2.9555,-2.4026,4.5479
"Patient_21_Pre_untreated",3.3973,2.477,-1.1942,5.2
"Patient_21_Prog_Treated_with_dabrafenib",2.4944,1.3763,-2.4064,4.2714
"Patient_23_Pre_untreated",-0.113,-0.3061,-1.8633,4.6043
"Patient_23_Prog_Treated_with_vemurafenib",1.8435,1.8622,-1.7302,4.5144
"Patient_24_Pre_untreated",2.0833,0.5408,-1.9163,5.038
"Patient_24_Pre_untreated__replicate_",2.4535,0.3442,-2.2692,5.2249
"Patient_24_Prog_Treated_with_vemurafenib",1.9573,1.1696,-2.8141,4.3024
"Patient_25_Pre_untreated",1.8753,1.6653,-1.8283,4.9821
"Patient_25_Prog_Treated_with_vemurafenib",-0.3755,0.5827,-1.1109,5.2116
"Patient_28_Pre_untreated",2.209,1.2969,-0.788,6.4754
"Patient_28_Prog_1_Treated_with_vemurafenib",1.3373,2.1934,-1.1631,4.3883
"Patient_28_Prog_2_Treated_with_vemurafenib",0.4823,0.7613,-0.9271,5.5564
"Patient_28_Prog_3_Treated_with_vemurafenib",1.2751,0.762,-1.0056,5.7594
"Patient_28_Prog_4_Treated_with_vemurafenib",1.9061,1.9468,-1.2318,5.6839
"Patient_30_Pre_untreated",1.5954,2.3037,-1.4347,5.8536
"Patient_30_Prog_Treated_with_vemurafenib",2.1872,-0.5254,-2.6041,4.1504
