"","Melanocytic","Transitory.Melanocytic","Transitory","Int.Neural.crest.like","Neural.crest.like","Undifferentiated.Neural.crest.like","Undifferentiated"
"Metastatic_Melanoma_Sample_C007",-1.4049,-1.5058,-3.4616,-3.5295,-1.3861,-1.8087,-2.6777
"Metastatic_Melanoma_Sample_C009",2.122,6.469,-0.523,1.8391,-2.5266,-2.6518,-5.0449
"Metastatic_Melanoma_Sample_C010",-0.3081,6.612,1.0479,1.0701,-2.3494,-3.7118,-6.1086
"Metastatic_Melanoma_Sample_C012",1.7647,8.9896,-2.7088,-3.0504,-3.7156,-4.114,-7.221
"Metastatic_Melanoma_Sample_C014",-3.2245,-0.5968,-2.5872,2.7142,1.5854,3.1471,-5.8185
"Metastatic_Melanoma_Sample_C015",1.4061,7.5949,2.1376,0.9905,-3.6339,-3.7114,-7.1559
"Metastatic_Melanoma_Sample_C018",1.5909,8.0242,0.4739,0.2587,-1.4586,-3.6554,-4.02
"Metastatic_Melanoma_Sample_C021",-5.7023,-0.44,1.5965,3.2946,-0.8751,-0.2727,-6.5544
"Metastatic_Melanoma_Sample_C022",0.6453,7.1674,0.3587,-0.3415,-4.4268,-3.1752,-7.9763
"Metastatic_Melanoma_Sample_C024",-0.818,5.357,-0.0185,0.6046,-2.6084,-2.1409,-5.8323
"Metastatic_Melanoma_Sample_C025",-1.0237,3.3496,1.5263,-0.6585,-4.716,-2.0505,-8.1097
"Metastatic_Melanoma_Sample_C027",3.9574,7.2081,-2.3471,-1.9048,-2.9877,-4.4686,-7.0373
"Metastatic_Melanoma_Sample_C038",-4.6112,1.7113,2.1713,4.0645,-0.0217,1.1186,-7.6547
"Metastatic_Melanoma_Sample_MM_A",1.2178,7.7195,-1.129,0.6432,-2.0309,-1.8216,-5.4472
"Metastatic_Melanoma_Sample_MM_B",-1.475,5.262,0.5008,3.4497,0.6263,1.1612,-6.6785
"Metastatic_Melanoma_Sample_MM_E",-2.839,0.8546,-1.979,1.4918,3.1101,4.8706,-4.2716
"Metastatic_Melanoma_Sample_MM_F",1.3277,8.0205,-1.933,1.4569,-1.2687,-1.186,-7.9148
"Metastatic_Melanoma_Sample_MM_H",0.5855,9.0765,-0.9965,1.8183,-0.6524,-3.0542,-7.9582
"Metastatic_Melanoma_Sample_MM_I",0.8434,8.0745,-0.6485,-0.013,-2.1208,-2.1477,-7.0035
"Metastatic_Melanoma_Sample_MM_K",1.6606,7.6027,2.6779,2.6832,-1.4227,0.0863,-5.8225
"Metastatic_Melanoma_Sample_MM_L",-2.0969,-3.2999,-3.3549,-0.3059,-0.5619,6.5454,-0.2694
"Metastatic_Melanoma_Sample_101_6",2.7846,8.3276,-2.4866,0.3538,-0.4663,-2.2472,-6.0447
"Metastatic_Melanoma_Sample_102_2",0.5447,7.2743,-2.1739,-0.7175,-4.1158,-2.1072,-7.4039
"Metastatic_Melanoma_Sample_104_2",0.8623,10.4345,1.7032,1.6685,-3.4633,-3.6758,-6.5839
"Metastatic_Melanoma_Sample_104_3",2.6956,8.1158,-2.7043,-0.0489,-2.7657,-3.1266,-6.876
"Metastatic_Melanoma_Sample_104_4",3.6478,8.9005,0.2996,0.7268,-1.2986,1.2116,-3.5096
"Metastatic_Melanoma_Sample_105_1",0.1735,8.7076,-0.5137,1.6663,-2.406,-1.3015,-6.7586
"Metastatic_Melanoma_Sample_105_2",1.4755,6.3773,0.1767,2.0444,1.2856,1.4739,-5.434
"Metastatic_Melanoma_Sample_105_3",1.2712,7.2599,-1.3421,0.3894,-2.6587,0.846,-4.3066
"Metastatic_Melanoma_Sample_105_4",-2.7177,3.1987,1.7322,3.7545,0.4201,0.3576,-4.7287
"Metastatic_Melanoma_Sample_105_5",3.3623,8.3091,0.3424,0.753,-1.5278,1.2786,-2.5048
"Metastatic_Melanoma_Sample_105_6",-2.6504,6.5359,0.7345,3.6222,-0.3536,0.7207,-4.8778
"Metastatic_Melanoma_Sample_15_3",0.1247,6.2316,0.1079,0.8028,-2.2608,-2.142,-6.5483
"Metastatic_Melanoma_Sample_18_2",1.3767,7.5965,1.8003,0.5869,-1.089,-0.1362,-4.7491
"Metastatic_Melanoma_Sample_18_4",2.5446,6.1592,-0.4502,2.1637,-0.2149,1.2344,-5.3972
"Metastatic_Melanoma_Sample_64_1",-4.2107,1.2434,1.2133,3.7143,-0.4486,0.6777,-7.7828
"Metastatic_Melanoma_Sample_64_2",-4.6699,0.9177,2.3449,4.0971,-0.1615,0.0122,-8.001
"Metastatic_Melanoma_Sample_64_3",1.6619,9.0147,1.4499,0.3948,-4.5135,-4.1106,-7.2474
"Metastatic_Melanoma_Sample_64_4",1.4015,4.4018,-2.6108,0.2357,0.0114,2.5688,-2.7892
"Metastatic_Melanoma_Sample_64_5",-3.3383,-4.8076,-3.3913,-0.2471,-0.8047,6.4356,-0.3383
