"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"IGR1DMSO8hrep1",19.3685,-5.4363,10.2813,-1.3603,-5.321,5.9641,0.41760601180891,0.54735766041297
"IGR1GSK1268hrep1",18.9553,-5.8943,9.7492,-1.8479,-4.7764,5.5601,0.408212560386473,1.84380459271598
"IGR1DMSO48hrep1",18.715,-7.8485,9.7242,-2.4583,-4.9814,5.7157,0.436124530327429,1.63753043523124
"IGR1GSK12648hrep1",20.2278,-4.9054,9.3439,-1.3045,-4.8178,5.8959,0.415727321524423,4.23954304609611
"KMJR138DMSO8hrep1",6.1031,8.5899,2.7263,6.8839,-5.7067,8.5647,0.585077831454643,-7.79292619207912
"KMJR138GSK1268hrep1",6.6014,8.3771,2.408,6.9109,-5.5726,9.0778,0.575684380032206,-7.39966053506993
"KMJR138DMSO48hrep1",8.9196,8.5269,3.2464,6.7467,-5.4343,8.5743,0.569511540526033,-7.6607121348017
"KMJR138GSK12648hrep1",8.9858,9.9041,3.5216,6.6811,-4.9075,8.4691,0.538647342995169,-6.65038595466134
"MM386DMSO8hrep2",17.6268,-6.1791,9.7804,-2.1759,-4.3375,4.9841,0.383252818035427,-1.60864549243396
"MM386GSK1268hrep2",18.2349,-7.5402,9.9569,-2.0331,-4.9885,5.4067,0.401771336553945,-1.55719997398328
"MM386DMSO48hrep2",19.1894,-7.7112,10.05,-3.1153,-4.0721,5.7226,0.411164787976382,-1.04560923339697
"MM386GSK12648hrep2",21.2201,-7.1282,9.9761,-3.292,-3.0169,6.2619,0.423510466988728,0.439810217676243
"MelRMUDMSO8hrep2",-0.3112,14.4998,-1.0083,7.3596,-6.1109,8.9278,0.684111647879764,4.87284245856373
"MelRMUGSK1268hrep2",0.1642,13.376,-0.9957,8.1111,-5.6125,9.1326,0.652979066022544,5.05582056472477
"MelRMUDMSO48hrep2",0.8128,15.4164,-0.8375,7.8716,-4.2965,9.0246,0.615942028985507,7.78503419011217
"MelRMUGSK12648hrep2",1.0255,15.0717,-0.7816,7.8926,-4.7106,8.6726,0.60654857756307,7.93744299319803
"MM386DMSO8hrep1",19.7708,-5.8136,9.7665,-2.0472,-5.5307,6.1043,0.44524959742351,-1.54229476738536
"MM386GSK1268hrep1",18.3516,-7.818,9.7974,-2.4839,-5.6752,5.2411,0.426731078904992,-1.55561013752901
"MM386DMSO48hrep1",21.021,-8.1609,10.2822,-3.2028,-4.0808,5.7324,0.411164787976382,-1.41163856613741
"MM386GSK12648hrep1",21.4051,-6.9778,10.3938,-3.3661,-4.0335,6.4537,0.44524959742351,0.543736962093465
"MelRMUDMSO8hrep1",-0.982,13.7235,-1.7073,7.0017,-6.9559,8.9875,0.628556092324208,5.31336812458225
"MelRMUGSK1268hrep1",-0.9449,15.218,-1.7083,7.5732,-6.3468,9.435,0.656468062265164,5.41396098240353
"MelRMUDMSO48hrep1",0.2136,14.144,-0.7887,7.2421,-5.5243,9.4638,0.60654857756307,7.69079346139643
"MelRMUGSK12648hrep1",1.4015,15.1683,-1.3266,7.9525,-5.2964,9.2947,0.603596349973162,8.4102867752028
"IGR1DMSO8hrep2",19.3585,-5.8042,9.9766,-0.4039,-6.3469,6.3844,0.44873859366613,0.0900339135808323
"IGR1GSK1268hrep2",21.1812,-5.7005,10.4604,-1.4089,-5.1385,5.7345,0.431293612453033,1.41012611854286
"IGR1DMSO48hrep2",19.8072,-7.3098,10.6328,-2.8374,-5.3901,5.8886,0.428073000536769,1.89056753231883
"IGR1GSK12648hrep2",21.5677,-5.2488,9.9059,-2.5735,-4.4989,5.1114,0.415190552871712,4.44441288928765
"KMJR138DMSO8hrep2",5.9529,9.0653,3.3529,7.3246,-6.7518,8.4396,0.581857219538379,-7.49910840834857
"KMJR138GSK1268hrep2",7.34,8.0964,2.4949,6.8681,-5.485,8.5666,0.569243156199678,-7.78248638235538
"KMJR138DMSO48hrep2",8.7533,7.8527,2.9515,5.8298,-5.7046,9.0889,0.575684380032206,-7.85590499828002
"KMJR138GSK12648hrep2",8.8086,9.4733,3.7902,7.0535,-5.5041,8.7146,0.548040794417606,-8.2042901416778
