"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"mole_1__re_analyzed_",16.5013,8.9978,7.6253,2.525,11.9206,13.2117,0.0957091237579042,1.31848567681823
"mole_2__re_analyzed_",18.5357,8.0913,8.8524,3.0412,10.0254,13.83,0.224209575429088,-3.64584895531982
"H15__re_analyzed_",15.0354,10.8481,6.1629,4.7708,11.7557,15.9956,0.125654923215899,3.56083014049592
"H59__re_analyzed_",18.8426,6.488,8.9981,2.2908,8.0432,12.4752,0.149728997289973,-1.5812582683894
"H60__re_analyzed_",15.5147,7.2312,7.7558,2.0129,12.0443,14.3957,0.0878952122854562,3.06092026399707
"H17__re_analyzed_",14.3013,12.2729,7.0816,4.7588,11.9402,15.8707,0.154471544715447,5.71738797492095
"H18__re_analyzed_",14.6282,12.8124,6.258,4.4293,13.5934,15.4834,0.123577235772358,3.47335183902972
"H19__re_analyzed_",16.9749,10.114,8.2769,3.5836,12.8072,14.3031,0.115718157181572,2.93990700908286
"H21__re_analyzed_",16.3439,10.8547,7.8215,4.2743,12.4224,15.1302,0.162646793134598,3.84526507560412
"H23__re_analyzed_",14.7444,12.4966,6.8667,5.1785,10.9747,17.905,0.218970189701897,1.90064784815908
"H67__re_analyzed_",16.4558,9.7673,8.8415,3.7151,10.914,14.4024,0.139656729900632,0.697306355007065
"H69__re_analyzed_",16.8071,7.9139,8.6678,2.6782,12.3021,13.5648,0.0922312556458898,4.30559348899873
"Patient__1_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",22.1862,4.1238,10.497,1.7979,4.4616,13.063,0.280352303523035,-2.43608244511202
"Patient__2_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",17.2426,13.0039,8.5789,3.4513,11.8622,15.4142,0.133152664859982,7.15100481499582
"Patient__3_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",17.4519,11.944,8.5029,4.9009,11.3434,17.4641,0.195889792231256,4.96906175513035
"Patient__4_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",21.4511,8.6927,10.3685,5.5287,6.4666,16.9564,0.355239385727191,-1.80244224589209
"Patient__5_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",18.5867,11.2227,9.5745,5.7947,5.5877,17.134,0.364001806684734,-4.20481693676826
"Patient__6_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",20.44,10.5423,8.8214,3.356,12.0328,14.6958,0.152755194218609,5.37325597790554
"Patient__7_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",19.0132,11.3921,8.3809,5.0615,7.9447,16.9108,0.354426377597109,-2.69389547531318
"Patient__8_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",11.4927,15.1832,2.7147,6.6537,10.1494,19.2663,0.353929539295393,-7.81445435578284
"Patient__9_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",11.3106,14.6026,2.3731,6.9171,6.5104,18.8543,0.51996386630533,-16.1980765454498
"Patient__10_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",16.8564,11.8601,8.3675,5.4565,10.2434,16.3831,0.269467028003613,0.326619513063505
"Patient__11_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",14.8103,13.7681,7.0478,5.3473,9.7387,17.9027,0.343541102077687,-2.16307652139916
"Patient__12_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",12.5979,14.4354,5.744,6.2478,10.554,17.0044,0.321725383920506,-3.52617409114744
"Patient__13_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",20.3424,11.006,9.9239,6.1547,8.8478,16.8105,0.341327913279133,0.0222998328160102
"Patient__14_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",13.0951,13.0829,5.152,5.0415,10.4813,17.4922,0.240289069557362,1.45001290812874
"Patient__15_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",20.5138,12.908,9.7367,6.9162,6.1452,18.9112,0.431526648599819,-4.96541884846191
"Patient__16_Technique__Vivo_Region__Whole_Tissue__Primary_Melanoma",20.5414,10.9041,9.9444,5.8634,11.0831,16.7202,0.257226738934056,0.919594214882245
