"","Pro_Ver","Inv_Ver","Pro_Hoek","Inv_Hoek","KS_E","KS_M","KS","GS"
"Patient_1_Pre_untreated",-0.1511,4.3931,0.178,0.5087,4.9124,1.5011,-0.171532846715329,-2.82199860419552
"Patient_1_Prog_Treated_with_dabrafenib",-0.0481,2.7443,0.3792,2.2457,4.2494,2.7193,-0.131079060768622,-13.5421680189849
"Patient_2_Pre_untreated",-0.0449,2.7306,-0.801,0.1201,4.4658,0.841,-0.144754199278867,0.462631797166163
"Patient_2_Prog_Treated_with_dabrafenib",0.4017,2.9629,-1.0038,-0.2354,4.4586,1.0144,-0.116612435142028,10.3805779933921
"Patient_3_Pre_untreated",-0.9479,1.7408,-0.9488,0.8582,1.2205,0.5149,-0.0809075718934131,-1.01810609557441
"Patient_3_Prog_1_Treated_with_dabrafenib",0.6241,2.0483,-1.319,0.4722,2.6422,1.0252,-0.114765631870548,-0.685877800033369
"Patient_3_Prog_2_Treated_with_dabrafenib",-0.1041,4.3556,-0.8958,2.6746,3.5425,3.2306,-0.0940110808196289,-8.38487270915185
"Patient_4_Pre_untreated",-0.84,4.1489,-1.166,1.6329,3.5477,1.3654,-0.104696156890335,-2.47266304991313
"Patient_4_Prog_Treated_with_dabrafenib",0.8536,2.3894,-0.7598,1.9053,3.0631,1.4841,-0.0967812857268491,5.06267857110025
"Patient_5_Pre_untreated",0.6694,2.9058,-0.21,0.7942,3.1634,3.1699,-0.0962096561428195,4.58170818516622
"Patient_5_EDT_treated_with_dabrafenib",1.2408,3.3399,-0.7233,0.1419,4.3817,2.0458,-0.119734412100959,-1.55237085748039
"Patient_5_Prog_Treated_with_dabrafenib",0.518,2.7967,-1.116,0.4327,5.1386,1.299,-0.113974144754199,0.322462010442689
"Patient_7_Pre_untreated",0.6239,3.3144,-1.1932,0.7083,4.9555,2.36,-0.122988303579281,0.909884699062926
"Patient_7_Pre_untreated__replicate_",0.2701,2.803,-1.2713,0.616,4.7472,1.4939,-0.146029372966318,-1.29710815026944
"Patient_7_Prog_Treated_with_dabrafenib",-0.4944,5.1368,-0.0637,1.626,5.8032,3.1382,-0.132002462404362,-10.1648695621621
"Patient_8_Pre_untreated",-0.5427,2.6404,-0.723,1.0914,2.4068,2.9243,-0.0957259695717176,2.55602694957786
"Patient_8_Pre_untreated__replicate_",-0.6087,1.5557,-1.4609,0.277,5.2391,1.5119,-0.133893237182306,4.59026752084376
"Patient_8_Prog_1_Treated_with_dabrafenib",0.477,3.9494,-0.9388,1.0907,3.2452,1.6902,-0.0993316331017501,1.44361153356693
"Patient_8_Prog_2_Treated_with_dabrafenib",0.6658,3.6605,-0.5541,1.7261,3.7909,1.7099,-0.122416673995251,6.44495373586749
"Patient_9_Pre_untreated",0.3524,2.4263,-1.0367,1.4952,4.3803,1.1775,-0.173731422038519,2.08016566834381
"Patient_9_Prog_Treated_with_dabrafenib",0.0889,2.1467,-0.4236,0.7348,5.3908,1.6218,-0.136883299621845,2.14438697366508
"Patient_10_Pre_untreated",0.0244,3.594,-1.0254,1.4182,3.4715,1.9028,-0.129012399964823,-6.81801432532807
"Patient_10_Pre_untreated__replicate_",0.7254,3.6051,-1.0387,1.311,3.7022,1.4976,-0.115776976519216,3.62016960034399
"Patient_10_EDT_Treated_with_dabrafenib",-0.0574,2.489,-0.6013,0.6273,3.2153,1.0472,-0.117184064726058,-4.35829184246897
"Patient_10_Prog_1_Treated_with_dabrafenib",-0.447,4.4911,-1.2226,2.8558,4.36,2.8685,-0.093307536716208,-2.97467130384695
"Patient_10_Prog_2_Treated_with_dabrafenib",1.1496,2.4001,0.3835,0.1041,2.9617,2.1568,-0.12413156274734,-0.0377881212503635
"Patient_11_Pre_untreated",0.505,2.3656,0.1557,0.537,2.8085,0.619,-0.110940110808196,0.926712566126382
"Patient_11_Pre_untreated__replicate_",0.1433,2.1622,-0.5007,0.5711,2.2606,1.146,-0.0869316682789553,3.24140089001523
"Patient_11_Prog_1_Treated_with_dabrafenib",0.1978,2.997,-0.1582,1.4017,3.2273,1.9306,-0.0991997185823587,-5.11397850355018
"Patient_11_Prog_2_Treated_with_dabrafenib",-0.4386,1.63,-0.2936,1.4357,3.0883,1.7188,-0.0997713481663882,-7.12126492276649
"Patient_11_Prog_1_Treated_with_dabrafenib__replicate_",0.9452,4.0126,-0.0502,0.1415,3.5741,0.6493,-0.0897018731861754,-0.115014850438063
"Patient_11_Prog_2_Treated_with_dabrafenib__replicate_",0.3855,1.1926,0.0349,0.7905,3.1797,1.1617,-0.104784099903263,3.12223027112225
"Patient_12_Pre_untreated",-0.1004,1.8164,-1.2836,0.2134,4.3952,0.903,-0.196200861841527,4.78811842591917
"Patient_12_Prog_Treated_with_dabrafenib",0.5034,0.7909,-1.4913,0.95,3.9266,2.172,-0.131210975288013,0.206722494736878
"Patient_13_Pre_untreated",0.2753,3.1708,-0.518,0.584,3.0885,2.3903,-0.0759387916630024,8.06968470921883
"Patient_13_Pre_untreated__replicate_",1.6111,2.8132,-0.2204,0.5791,3.8941,1.4024,-0.115469175973969,8.42576101333964
"Patient_13_Prog_Treated_with_dabrafenib",-0.1804,3.1594,-1.3259,0.3341,3.3224,0.9768,-0.150910210183801,4.71343173436758
"Patient_14_Pre_untreated",2.3805,2.8523,0.167,1.3067,3.6817,1.8228,-0.126110280538211,-3.7969837259555
"Patient_14_Prog_Treated_with_dabrafenib",1.2652,2.5033,-0.8054,0.4246,5.2227,1.1787,-0.145897458446926,-5.19063132514728
"Patient_17_Pre_untreated",1.0467,3.2393,0.4526,2.3055,4.0166,1.8712,-0.113358543663706,1.50147392237916
"Patient_17_Prog_Treated_with_dabrafenib",-0.4226,2.622,-0.1875,1.943,4.7832,2.7246,-0.11951455456864,-1.26567786082091
"Patient_18_Pre_untreated",0.9545,2.126,-0.3272,0.8568,4.6586,2.208,-0.116700378154956,2.51876852722309
"Patient_18_Pre_untreated__replicate_",0.9248,2.4883,-0.3294,1.574,5.5286,2.5467,-0.121449300853047,2.02243511315554
"Patient_18_Prog_1_Treated_with_dabrafenib",1.3234,2.8659,-0.5275,1.9279,3.7623,1.9112,-0.0832380617359951,-2.72774059174616
"Patient_18_Prog_2_Treated_with_dabrafenib",0.5514,2.5966,-1.1186,1.6291,4.2886,2.6087,-0.113930173247736,2.34801714518591
"Patient_21_Pre_untreated",1.4336,3.8607,1.0032,1.3589,4.3189,2.1457,-0.104080555799842,3.28491954929543
